#           k/h    P           
    0.10000E-03    0.63875E-01
    0.10202E-03    0.65126E-01
    0.10408E-03    0.66402E-01
    0.10618E-03    0.67702E-01
    0.10833E-03    0.69028E-01
    0.11052E-03    0.70380E-01
    0.11275E-03    0.71759E-01
    0.11503E-03    0.73164E-01
    0.11735E-03    0.74597E-01
    0.11972E-03    0.76059E-01
    0.12214E-03    0.77548E-01
    0.12461E-03    0.79067E-01
    0.12712E-03    0.80616E-01
    0.12969E-03    0.82195E-01
    0.13231E-03    0.83805E-01
    0.13499E-03    0.85446E-01
    0.13771E-03    0.87119E-01
    0.14049E-03    0.88826E-01
    0.14333E-03    0.90565E-01
    0.14623E-03    0.92339E-01
    0.14918E-03    0.94147E-01
    0.15220E-03    0.95991E-01
    0.15527E-03    0.97871E-01
    0.15841E-03    0.99788E-01
    0.16161E-03    0.10174E+00
    0.16487E-03    0.10373E+00
    0.16820E-03    0.10577E+00
    0.17160E-03    0.10784E+00
    0.17507E-03    0.10995E+00
    0.17860E-03    0.11210E+00
    0.18221E-03    0.11430E+00
    0.18589E-03    0.11654E+00
    0.18965E-03    0.11882E+00
    0.19348E-03    0.12114E+00
    0.19739E-03    0.12352E+00
    0.20138E-03    0.12593E+00
    0.20544E-03    0.12840E+00
    0.20959E-03    0.13091E+00
    0.21383E-03    0.13348E+00
    0.21815E-03    0.13609E+00
    0.22255E-03    0.13876E+00
    0.22705E-03    0.14147E+00
    0.23164E-03    0.14424E+00
    0.23632E-03    0.14707E+00
    0.24109E-03    0.14995E+00
    0.24596E-03    0.15288E+00
    0.25093E-03    0.15587E+00
    0.25600E-03    0.15893E+00
    0.26117E-03    0.16204E+00
    0.26645E-03    0.16521E+00
    0.27183E-03    0.16844E+00
    0.27732E-03    0.17174E+00
    0.28292E-03    0.17510E+00
    0.28864E-03    0.17853E+00
    0.29447E-03    0.18202E+00
    0.30042E-03    0.18558E+00
    0.30649E-03    0.18922E+00
    0.31268E-03    0.19292E+00
    0.31899E-03    0.19669E+00
    0.32544E-03    0.20054E+00
    0.33201E-03    0.20447E+00
    0.33872E-03    0.20847E+00
    0.34556E-03    0.21254E+00
    0.35254E-03    0.21670E+00
    0.35966E-03    0.22094E+00
    0.36693E-03    0.22526E+00
    0.37434E-03    0.22967E+00
    0.38190E-03    0.23416E+00
    0.38962E-03    0.23874E+00
    0.39749E-03    0.24341E+00
    0.40552E-03    0.24817E+00
    0.41371E-03    0.25302E+00
    0.42207E-03    0.25797E+00
    0.43060E-03    0.26301E+00
    0.43929E-03    0.26815E+00
    0.44817E-03    0.27340E+00
    0.45722E-03    0.27874E+00
    0.46646E-03    0.28419E+00
    0.47588E-03    0.28974E+00
    0.48550E-03    0.29540E+00
    0.49530E-03    0.30117E+00
    0.50531E-03    0.30706E+00
    0.51552E-03    0.31306E+00
    0.52593E-03    0.31917E+00
    0.53656E-03    0.32540E+00
    0.54739E-03    0.33176E+00
    0.55845E-03    0.33823E+00
    0.56973E-03    0.34484E+00
    0.58124E-03    0.35157E+00
    0.59299E-03    0.35843E+00
    0.60496E-03    0.36542E+00
    0.61719E-03    0.37255E+00
    0.62965E-03    0.37982E+00
    0.64237E-03    0.38723E+00
    0.65535E-03    0.39478E+00
    0.66859E-03    0.40247E+00
    0.68210E-03    0.41032E+00
    0.69588E-03    0.41832E+00
    0.70993E-03    0.42647E+00
    0.72427E-03    0.43477E+00
    0.73891E-03    0.44324E+00
    0.75383E-03    0.45187E+00
    0.76906E-03    0.46067E+00
    0.78460E-03    0.46963E+00
    0.80045E-03    0.47877E+00
    0.81662E-03    0.48808E+00
    0.83311E-03    0.49757E+00
    0.84994E-03    0.50724E+00
    0.86711E-03    0.51710E+00
    0.88463E-03    0.52714E+00
    0.90250E-03    0.53738E+00
    0.92073E-03    0.54781E+00
    0.93933E-03    0.55844E+00
    0.95831E-03    0.56927E+00
    0.97767E-03    0.58031E+00
    0.99742E-03    0.59156E+00
    0.10176E-02    0.60302E+00
    0.10381E-02    0.61470E+00
    0.10591E-02    0.62660E+00
    0.10805E-02    0.63872E+00
    0.11023E-02    0.65107E+00
    0.11246E-02    0.66365E+00
    0.11473E-02    0.67647E+00
    0.11705E-02    0.68953E+00
    0.11941E-02    0.70283E+00
    0.12182E-02    0.71638E+00
    0.12429E-02    0.73019E+00
    0.12680E-02    0.74425E+00
    0.12936E-02    0.75857E+00
    0.13197E-02    0.77315E+00
    0.13464E-02    0.78801E+00
    0.13736E-02    0.80314E+00
    0.14013E-02    0.81854E+00
    0.14296E-02    0.83423E+00
    0.14585E-02    0.85021E+00
    0.14880E-02    0.86647E+00
    0.15180E-02    0.88303E+00
    0.15487E-02    0.89990E+00
    0.15800E-02    0.91706E+00
    0.16119E-02    0.93454E+00
    0.16445E-02    0.95232E+00
    0.16777E-02    0.97043E+00
    0.17116E-02    0.98885E+00
    0.17462E-02    0.10076E+01
    0.17814E-02    0.10267E+01
    0.18174E-02    0.10461E+01
    0.18541E-02    0.10659E+01
    0.18916E-02    0.10860E+01
    0.19298E-02    0.11064E+01
    0.19688E-02    0.11272E+01
    0.20086E-02    0.11484E+01
    0.20491E-02    0.11699E+01
    0.20905E-02    0.11918E+01
    0.21328E-02    0.12140E+01
    0.21758E-02    0.12366E+01
    0.22198E-02    0.12596E+01
    0.22646E-02    0.12830E+01
    0.23104E-02    0.13067E+01
    0.23571E-02    0.13309E+01
    0.24047E-02    0.13554E+01
    0.24533E-02    0.13803E+01
    0.25028E-02    0.14056E+01
    0.25534E-02    0.14313E+01
    0.26050E-02    0.14574E+01
    0.26576E-02    0.14839E+01
    0.27113E-02    0.15108E+01
    0.27660E-02    0.15382E+01
    0.28219E-02    0.15659E+01
    0.28789E-02    0.15940E+01
    0.29371E-02    0.16225E+01
    0.29964E-02    0.16515E+01
    0.30569E-02    0.16808E+01
    0.31187E-02    0.17105E+01
    0.31817E-02    0.17407E+01
    0.32460E-02    0.17713E+01
    0.33115E-02    0.18022E+01
    0.33784E-02    0.18336E+01
    0.34467E-02    0.18653E+01
    0.35163E-02    0.18974E+01
    0.35874E-02    0.19300E+01
    0.36598E-02    0.19629E+01
