# zLya k PLya stat Pnoise PSB
2.2 0.001084 19.2561 0.252723 2.55509 3.05729
2.2 0.001626 17.4875 0.215235 2.57644 2.57233
2.2 0.002168 18.4981 0.217733 2.61137 2.15247
2.2 0.00271 18.3231 0.213203 2.66835 1.79726
2.2 0.003252 17.393 0.200655 2.73205 1.5044
2.2 0.003794 14.8984 0.166486 2.79782 1.27013
2.2 0.004336 13.9691 0.159024 2.89509 1.08957
2.2 0.004878 14.4871 0.161714 2.98279 0.957042
2.2 0.00542 14.6739 0.158623 3.11213 0.866367
2.2 0.005962 13.755 0.156638 3.26194 0.811092
2.2 0.006504 12.478 0.140297 3.41105 0.78473
2.2 0.007046 12.0033 0.138754 3.61468 0.780949
2.2 0.007588 12.5727 0.157547 3.83077 0.793739
2.2 0.00813 12.3725 0.15377 4.04571 0.817547
2.2 0.008672 11.7427 0.143937 4.31108 0.847392
2.2 0.009214 11.1616 0.156045 4.58553 0.878952
2.2 0.009756 10.8137 0.141017 4.87655 0.908626
2.2 0.010298 10.3273 0.142325 5.27682 0.933581
2.2 0.01084 10.6568 0.147555 5.70715 0.951764
2.2 0.011382 10.2395 0.148358 6.2292 0.961913
2.2 0.011924 9.60963 0.147687 6.77756 0.963528
2.2 0.012466 8.93724 0.14748 7.44572 0.956842
2.2 0.013008 8.81644 0.149974 8.19655 0.942761
2.2 0.01355 9.1375 0.164986 9.06678 0.922803
2.2 0.014092 8.4531 0.165457 10.0438 0.899006
2.2 0.014634 8.20211 0.172342 11.2496 0.873839
2.2 0.015176 8.1984 0.189565 12.5642 0.850084
2.2 0.015718 7.89966 0.199393 14.1197 0.830727
2.2 0.01626 7.5025 0.209376 15.9622 0.818817
2.2 0.016802 7.47319 0.218169 18.2286 0.817334
2.2 0.017344 7.39748 0.257193 20.887 0.829039
2.2 0.017886 6.94871 0.284435 23.7921 0.856324
2.2 0.018428 6.30978 0.297656 27.4353 0.90105
2.2 0.01897 6.67638 0.347715 31.6519 0.964386
2.2 0.019512 6.39755 0.376181 36.66 1.04664
2.4 0.001084 24.0775 0.266895 2.35869 3.40093
2.4 0.001626 21.3177 0.219204 2.38008 2.84173
2.4 0.002168 22.3838 0.22596 2.41326 2.36112
2.4 0.00271 22.6753 0.219956 2.45421 1.95725
2.4 0.003252 21.1311 0.208089 2.50625 1.62621
2.4 0.003794 18.0069 0.170779 2.5693 1.36258
2.4 0.004336 17.0848 0.162106 2.64636 1.15981
2.4 0.004878 17.5735 0.166569 2.73138 1.01065
2.4 0.00542 17.7243 0.15825 2.84176 0.907451
2.4 0.005962 16.6174 0.159392 2.96048 0.842462
2.4 0.006504 15.1083 0.137527 3.09853 0.808101
2.4 0.007046 14.1209 0.138301 3.26355 0.797142
2.4 0.007588 14.9623 0.158703 3.43402 0.80289
2.4 0.00813 14.5636 0.148407 3.61618 0.819314
2.4 0.008672 13.8434 0.140832 3.83666 0.841145
2.4 0.009214 13.701 0.171551 4.05053 0.863942
2.4 0.009756 12.1261 0.131547 4.27913 0.884132
2.4 0.010298 12.1321 0.132646 4.59195 0.899022
2.4 0.01084 12.216 0.139575 4.94398 0.906781
2.4 0.011382 11.7752 0.137218 5.33591 0.906411
2.4 0.011924 11.3439 0.137647 5.79827 0.897689
2.4 0.012466 10.5715 0.133149 6.31052 0.881093
2.4 0.013008 10.4624 0.138775 6.90559 0.857719
2.4 0.01355 10.6102 0.144751 7.58071 0.829176
2.4 0.014092 10.1464 0.14633 8.35279 0.79748
2.4 0.014634 9.75242 0.151001 9.24666 0.764932
2.4 0.015176 9.31181 0.156494 10.2604 0.733996
2.4 0.015718 9.055 0.163463 11.4368 0.707171
2.4 0.01626 8.84349 0.177181 12.8012 0.686865
2.4 0.016802 9.07765 0.180491 14.5206 0.675263
2.4 0.017344 8.66923 0.208318 16.4515 0.674211
2.4 0.017886 8.21175 0.218877 18.6442 0.685093
2.4 0.018428 7.5164 0.236332 21.2184 0.708726
2.4 0.01897 7.73411 0.266879 24.2266 0.745262
2.4 0.019512 7.97804 0.287854 27.9071 0.794102
