# continuum noise resolution SB linemask DLAmask DLAcompleteness BALcompleteness
0.300831 0.0490578 0.00596373 0.0828456 0.436127 0.00997869 0.394601 0.147441
0.223793 0.0494677 0.0121883 0.0751657 0.385855 0.0075438 0.244109 0.0892661
0.210594 0.0501383 0.0229265 0.0675402 0.398602 0.00648226 0.197789 0.0708184
0.193072 0.0512323 0.0354962 0.0603341 0.386456 0.00504306 0.160006 0.0561188
0.173443 0.0524553 0.0485406 0.0538543 0.359767 0.00357708 0.129157 0.0443918
0.142553 0.0537181 0.0566216 0.0483441 0.302731 0.00210971 0.096728 0.0325927
0.129433 0.0555858 0.069382 0.0439797 0.279213 0.00115862 0.0809163 0.0267398
0.130821 0.0572695 0.0911276 0.0408705 0.285111 0.000428058 0.0760294 0.02465
0.129744 0.059753 0.114038 0.0390601 0.284504 0.000274362 0.0706185 0.0224711
0.1195 0.0626293 0.12945 0.0385313 0.262768 0.00085162 0.0612946 0.019149
0.106803 0.0654922 0.139879 0.0392109 0.234794 0.00125057 0.0518986 0.0159236
0.101436 0.069402 0.158071 0.0409779 0.222292 0.00160536 0.046908 0.0141395
0.105077 0.0735509 0.192223 0.0436717 0.228856 0.00204431 0.0464255 0.0137525
0.102404 0.0776776 0.217395 0.0471016 0.220948 0.00231252 0.0433766 0.0126312
0.0963623 0.0827728 0.235039 0.0510575 0.205222 0.0024283 0.0392506 0.011239
0.0908977 0.0880423 0.252529 0.0553203 0.190303 0.00248203 0.0356996 0.0100544
0.0874659 0.0936298 0.274663 0.0596731 0.179172 0.00252793 0.0332018 0.00919986
0.08302 0.101315 0.292685 0.0639119 0.165497 0.00248998 0.0305248 0.00832365
0.0851932 0.109577 0.335159 0.0678561 0.164219 0.00260558 0.0303993 0.00815973
0.0814439 0.119601 0.35561 0.0713586 0.150666 0.00249918 0.0282532 0.00746687
0.0760813 0.130129 0.36689 0.0743141 0.133857 0.00230578 0.0256999 0.00668902
0.0704584 0.142958 0.373597 0.0766678 0.116605 0.00207556 0.0232093 0.00595051
0.0692353 0.157374 0.402028 0.0784209 0.106311 0.00194907 0.0222695 0.00562549
0.0714985 0.174082 0.452979 0.0796354 0.100095 0.00188752 0.0224835 0.00559714
