|   z |           k |        P_ks |        P_xq |      P_metal |       P_fid |    estat_ks |    estat_xq | estat_metal | esyst_res_ks | esyst_res_xq |   esyst_dla |  esyst_cont | esyst_metal |
| 1.8 | 1.10000e-03 | 1.75894e+01 |         nan |  1.05385e+01 | 2.01827e+01 | 1.22460e+00 |         nan | 5.36806e+00 |  7.32868e-05 |          nan | 6.39393e-02 | 1.79399e+00 | 2.77555e-01 |
| 1.8 | 3.30000e-03 | 1.32858e+01 |         nan |  1.24644e+00 | 1.46780e+01 | 1.22010e+00 |         nan | 4.90279e-01 |  4.79688e-04 |          nan | 6.56264e-03 | 6.94393e-02 | 1.83320e-01 |
| 1.8 | 5.50000e-03 | 9.75674e+00 |         nan |  6.59740e-01 | 1.10717e+01 | 7.37026e-01 |         nan | 3.81518e-01 |  1.00508e-03 |          nan | 3.85816e-03 | 8.71156e-03 | 1.30987e-01 |
| 1.8 | 7.70000e-03 | 8.70914e+00 |         nan |  4.68451e-01 | 8.73778e+00 | 7.13617e-01 |         nan | 2.40777e-01 |  1.55470e-03 |          nan | 2.96341e-03 | 3.66458e-03 | 9.98845e-02 |
| 1.8 | 9.93927e-03 | 7.87858e+00 |         nan |  5.07641e-01 | 7.08174e+00 | 5.72327e-01 |         nan | 2.03504e-01 |  2.09948e-03 |          nan | 2.03031e-03 | 5.10070e-03 | 7.92038e-02 |
| 1.8 | 1.25128e-02 | 6.30054e+00 |         nan |  2.62206e-01 | 5.70843e+00 | 4.12570e-01 |         nan | 1.67917e-01 |  2.68218e-03 |          nan | 1.51853e-03 | 1.62278e-03 | 6.30095e-02 |
| 1.8 | 1.57527e-02 | 4.67435e+00 |         nan |  2.21100e-01 | 4.46965e+00 | 2.71386e-01 |         nan | 1.01748e-01 |  3.32847e-03 |          nan | 1.21957e-03 | 9.31037e-04 | 4.92086e-02 |
| 1.8 | 1.98315e-02 | 3.30980e+00 |         nan |  1.14507e-01 | 3.37938e+00 | 1.77789e-01 |         nan | 6.13417e-02 |  3.98849e-03 |          nan | 9.23547e-04 | 4.98139e-04 | 3.77268e-02 |
| 1.8 | 2.49663e-02 | 2.79103e+00 |         nan |  1.33650e-01 | 2.44829e+00 | 1.38292e-01 |         nan | 7.12220e-02 |  4.57968e-03 |          nan | 6.22392e-04 | 5.51762e-04 | 2.83945e-02 |
| 1.8 | 3.14307e-02 | 1.88022e+00 |         nan |  9.04113e-02 | 1.68442e+00 | 7.99354e-02 |         nan | 3.10768e-02 |  4.99368e-03 |          nan | 4.20457e-04 | 1.09252e-04 | 2.09795e-02 |
| 1.8 | 3.95689e-02 | 1.30703e+00 |         nan |  1.16831e-01 | 1.09083e+00 | 5.27163e-02 |         nan | 4.57173e-02 |  5.12540e-03 |          nan | 2.82278e-04 | 3.08056e-05 | 1.52170e-02 |
| 1.8 | 4.98144e-02 | 9.37194e-01 |         nan |  5.89863e-02 | 6.60648e-01 | 3.77613e-02 |         nan | 2.13470e-02 |  4.91972e-03 |          nan | 1.62953e-04 | 2.92829e-05 | 1.08352e-02 |
| 1.8 | 6.27126e-02 | 5.59395e-01 |         nan |  2.89869e-02 | 3.73447e-01 | 2.44969e-02 |         nan | 1.37598e-02 |  4.40760e-03 |          nan | 9.48442e-05 | 1.40891e-05 | 7.57394e-03 |
| 1.8 | 7.89504e-02 | 3.62825e-01 |         nan |  2.96895e-02 | 1.97673e-01 | 2.13946e-02 |         nan | 1.08988e-02 |  3.69759e-03 |          nan | 4.79606e-05 | 3.64764e-06 | 5.19734e-03 |
| 1.8 | 9.93927e-02 | 1.99459e-01 |         nan |  1.60535e-02 | 9.86953e-02 | 1.44300e-02 |         nan | 7.50323e-03 |  2.92596e-03 |          nan | 2.61919e-05 | 1.35229e-06 | 3.50118e-03 |
| 1.8 | 1.25128e-01 | 1.26912e-01 |         nan |  8.32904e-03 | 4.69045e-02 | 1.00750e-02 |         nan | 4.89412e-03 |  2.20387e-03 |          nan | 1.29307e-05 | 7.60540e-07 | 2.31539e-03 |
| 1.8 | 1.57527e-01 | 7.18746e-02 |         nan |  2.50783e-03 | 2.14044e-02 | 7.24874e-03 |         nan | 3.41368e-03 |  1.59395e-03 |          nan | 7.20989e-06 | 2.32883e-07 | 1.50317e-03 |
| 1.8 | 1.98315e-01 | 4.49730e-02 |         nan |  2.76426e-03 | 9.44754e-03 | 5.95660e-03 |         nan | 2.76219e-03 |  1.11504e-03 |          nan | 3.79653e-06 | 5.41169e-08 | 9.58000e-04 |
| 1.8 | 2.49663e-01 | 2.50367e-02 |         nan |  2.60123e-03 | 4.05549e-03 | 3.53372e-03 |         nan | 2.39879e-03 |  7.58604e-04 |          nan | 1.98839e-06 | 3.46500e-08 | 5.99376e-04 |
| 1.8 | 3.14307e-01 | 1.68477e-02 |         nan |  1.90037e-03 | 1.69966e-03 | 3.36635e-03 |         nan | 2.01004e-03 |  5.03888e-04 |          nan | 8.46118e-07 | 6.41539e-09 | 3.68135e-04 |
| 1.8 | 3.95690e-01 | 8.12544e-03 |         nan |  1.47065e-03 | 6.97297e-04 | 1.32001e-03 |         nan | 2.08033e-03 |  3.27634e-04 |          nan | 2.65311e-07 | 4.67421e-09 | 2.21968e-04 |
| 2.0 | 1.10000e-03 | 2.16692e+01 |         nan |  3.47604e+00 | 2.47915e+01 | 1.68431e+00 |         nan | 1.65836e+00 |  8.47972e-05 |          nan | 7.85403e-02 | 2.20365e+00 | 2.82695e-01 |
| 2.0 | 3.30000e-03 | 1.99005e+01 |         nan |  2.46327e+00 | 1.84664e+01 | 1.47578e+00 |         nan | 8.44918e-01 |  5.68464e-04 |          nan | 8.25645e-03 | 8.73616e-02 | 1.86511e-01 |
| 2.0 | 5.50000e-03 | 1.37584e+01 |         nan |  1.01379e+00 | 1.40852e+01 | 8.90526e-01 |         nan | 5.13956e-01 |  1.20442e-03 |          nan | 4.90825e-03 | 1.10826e-02 | 1.33200e-01 |
| 2.0 | 7.70000e-03 | 1.25649e+01 |         nan |  8.59239e-01 | 1.11977e+01 | 8.14418e-01 |         nan | 2.69277e-01 |  1.87674e-03 |          nan | 3.79770e-03 | 4.69627e-03 | 1.01538e-01 |
| 2.0 | 9.93927e-03 | 9.93243e+00 |         nan |  1.16944e+00 | 9.12606e+00 | 6.20454e-01 |         nan | 4.02763e-01 |  2.54850e-03 |          nan | 2.61641e-03 | 6.57314e-03 | 8.04941e-02 |
| 2.0 | 1.25128e-02 | 7.87902e+00 |         nan |  1.46286e+00 | 7.39328e+00 | 4.82963e-01 |         nan | 4.62787e-01 |  3.27219e-03 |          nan | 1.96673e-03 | 2.10174e-03 | 6.40213e-02 |
| 2.0 | 1.57527e-02 | 7.29014e+00 |         nan |  5.86582e-01 | 5.81798e+00 | 3.31195e-01 |         nan | 1.48459e-01 |  4.08108e-03 |          nan | 1.58747e-03 | 1.21190e-03 | 4.99873e-02 |
| 2.0 | 1.98315e-02 | 4.86623e+00 |         nan |  2.40499e-01 | 4.42093e+00 | 2.55870e-01 |         nan | 7.18759e-02 |  4.91488e-03 |          nan | 1.20819e-03 | 6.51669e-04 | 3.83151e-02 |
| 2.0 | 2.49663e-02 | 4.08428e+00 |         nan |  3.21237e-01 | 3.21897e+00 | 1.79340e-01 |         nan | 7.02872e-02 |  5.67176e-03 |          nan | 8.18311e-04 | 7.25448e-04 | 2.88307e-02 |
| 2.0 | 3.14307e-02 | 2.68864e+00 |         nan |  1.64851e-01 | 2.22578e+00 | 1.07770e-01 |         nan | 3.48271e-02 |  6.21560e-03 |          nan | 5.55590e-04 | 1.44365e-04 | 2.12968e-02 |
| 2.0 | 3.95689e-02 | 1.88417e+00 |         nan |  1.88333e-01 | 1.44866e+00 | 6.80936e-02 |         nan | 3.92713e-02 |  6.41164e-03 |          nan | 3.74875e-04 | 4.09110e-05 | 1.54436e-02 |
