|   z |           k |           P |           e |
| 2.0 | 5.50000e-03 | 1.27501e+01 | 1.03685e+00 |
| 2.0 | 7.70000e-03 | 1.17063e+01 | 8.63788e-01 |
| 2.0 | 9.93927e-03 | 8.76426e+00 | 7.44120e-01 |
| 2.0 | 1.25128e-02 | 6.41488e+00 | 6.71969e-01 |
| 2.0 | 1.57527e-02 | 6.70483e+00 | 3.66396e-01 |
| 2.0 | 1.98315e-02 | 4.62697e+00 | 2.68568e-01 |
| 2.0 | 2.49663e-02 | 3.76396e+00 | 1.94852e-01 |
| 2.0 | 3.14307e-02 | 2.52428e+00 | 1.15411e-01 |
| 2.0 | 3.95689e-02 | 1.69606e+00 | 8.03657e-02 |
| 2.0 | 4.98144e-02 | 9.51925e-01 | 4.59833e-02 |
| 2.0 | 6.27126e-02 | 5.82576e-01 | 2.98534e-02 |
| 2.0 | 7.89504e-02 | 2.74344e-01 | 1.98918e-02 |
| 2.0 | 9.93927e-02 | 1.45508e-01 | 1.71567e-02 |
| 2.2 | 5.50000e-03 | 1.50779e+01 | 1.20416e+00 |
| 2.2 | 7.70000e-03 | 1.17990e+01 | 8.90034e-01 |
| 2.2 | 9.93927e-03 | 9.56106e+00 | 8.05104e-01 |
| 2.2 | 1.25128e-02 | 8.27294e+00 | 5.82146e-01 |
| 2.2 | 1.57527e-02 | 6.70642e+00 | 4.11005e-01 |
| 2.2 | 1.98315e-02 | 5.05703e+00 | 2.81091e-01 |
| 2.2 | 2.49663e-02 | 3.81790e+00 | 2.05334e-01 |
| 2.2 | 3.14307e-02 | 2.68334e+00 | 1.18619e-01 |
| 2.2 | 3.95689e-02 | 1.80935e+00 | 8.14168e-02 |
| 2.2 | 4.98144e-02 | 1.08904e+00 | 5.02782e-02 |
| 2.2 | 6.27126e-02 | 6.04780e-01 | 3.03779e-02 |
| 2.2 | 7.89504e-02 | 3.46744e-01 | 1.99245e-02 |
| 2.2 | 9.93927e-02 | 1.49350e-01 | 1.30644e-02 |
| 2.4 | 5.50000e-03 | 1.78984e+01 | 1.28129e+00 |
| 2.4 | 7.70000e-03 | 1.73890e+01 | 1.33286e+00 |
| 2.4 | 9.93927e-03 | 1.40341e+01 | 1.02063e+00 |
| 2.4 | 1.25128e-02 | 1.07891e+01 | 6.89088e-01 |
| 2.4 | 1.57527e-02 | 8.92070e+00 | 5.36504e-01 |
| 2.4 | 1.98315e-02 | 6.73588e+00 | 3.43312e-01 |
| 2.4 | 2.49663e-02 | 5.29752e+00 | 2.58330e-01 |
| 2.4 | 3.14307e-02 | 3.46056e+00 | 1.47260e-01 |
| 2.4 | 3.95689e-02 | 2.34556e+00 | 1.07517e-01 |
| 2.4 | 4.98144e-02 | 1.45910e+00 | 6.61926e-02 |
| 2.4 | 6.27126e-02 | 7.55941e-01 | 3.49522e-02 |
| 2.4 | 7.89504e-02 | 3.54503e-01 | 2.46738e-02 |
| 2.4 | 9.93927e-02 | 1.64415e-01 | 1.54415e-02 |
| 2.6 | 5.50000e-03 | 2.27383e+01 | 1.63530e+00 |
| 2.6 | 7.70000e-03 | 1.71305e+01 | 1.47669e+00 |
| 2.6 | 9.93927e-03 | 1.58020e+01 | 1.11283e+00 |
| 2.6 | 1.25128e-02 | 1.32251e+01 | 9.20577e-01 |
| 2.6 | 1.57527e-02 | 1.00018e+01 | 5.87571e-01 |
| 2.6 | 1.98315e-02 | 7.84216e+00 | 3.84516e-01 |
| 2.6 | 2.49663e-02 | 5.80728e+00 | 3.02528e-01 |
| 2.6 | 3.14307e-02 | 4.19226e+00 | 1.84078e-01 |
| 2.6 | 3.95689e-02 | 2.81105e+00 | 1.24310e-01 |
| 2.6 | 4.98144e-02 | 1.65491e+00 | 6.69645e-02 |
| 2.6 | 6.27126e-02 | 9.14270e-01 | 3.69674e-02 |
| 2.6 | 7.89504e-02 | 4.56842e-01 | 2.60935e-02 |
| 2.6 | 9.93927e-02 | 2.10766e-01 | 1.65635e-02 |
| 2.8 | 5.50000e-03 | 2.45125e+01 | 1.84112e+00 |
| 2.8 | 7.70000e-03 | 2.41354e+01 | 1.53860e+00 |
| 2.8 | 9.93927e-03 | 1.69798e+01 | 1.27371e+00 |
| 2.8 | 1.25128e-02 | 1.51943e+01 | 1.04454e+00 |
| 2.8 | 1.57527e-02 | 1.30180e+01 | 7.65080e-01 |
| 2.8 | 1.98315e-02 | 9.49073e+00 | 4.97422e-01 |
| 2.8 | 2.49663e-02 | 7.75583e+00 | 3.31580e-01 |
| 2.8 | 3.14307e-02 | 4.93689e+00 | 2.19544e-01 |
| 2.8 | 3.95689e-02 | 3.24879e+00 | 1.38813e-01 |
| 2.8 | 4.98144e-02 | 2.12608e+00 | 8.05060e-02 |
| 2.8 | 6.27126e-02 | 1.06187e+00 | 4.17917e-02 |
| 2.8 | 7.89504e-02 | 5.22428e-01 | 2.67482e-02 |
| 2.8 | 9.93927e-02 | 2.25063e-01 | 1.75633e-02 |
| 3.0 | 5.50000e-03 | 2.65579e+01 | 2.01296e+00 |
| 3.0 | 7.70000e-03 | 2.43488e+01 | 1.45057e+00 |
| 3.0 | 9.93927e-03 | 2.34456e+01 | 1.47343e+00 |
| 3.0 | 1.25128e-02 | 2.04429e+01 | 1.21340e+00 |
| 3.0 | 1.57527e-02 | 1.73636e+01 | 8.90410e-01 |
| 3.0 | 1.98315e-02 | 1.12469e+01 | 5.21327e-01 |
| 3.0 | 2.49663e-02 | 8.97862e+00 | 4.31793e-01 |
| 3.0 | 3.14307e-02 | 6.60493e+00 | 2.75799e-01 |
| 3.0 | 3.95689e-02 | 4.19515e+00 | 1.66667e-01 |
| 3.0 | 4.98144e-02 | 2.63040e+00 | 1.06370e-01 |
| 3.0 | 6.27126e-02 | 1.41816e+00 | 4.99309e-02 |
| 3.0 | 7.89504e-02 | 6.61872e-01 | 3.13517e-02 |
| 3.0 | 9.93927e-02 | 2.83484e-01 | 1.94259e-02 |
| 3.2 | 5.50000e-03 | 3.94617e+01 | 2.97042e+00 |
| 3.2 | 7.70000e-03 | 2.92512e+01 | 2.45954e+00 |
| 3.2 | 9.93927e-03 | 2.57446e+01 | 2.10493e+00 |
| 3.2 | 1.25128e-02 | 1.99769e+01 | 1.40553e+00 |
| 3.2 | 1.57527e-02 | 1.69216e+01 | 1.08490e+00 |
| 3.2 | 1.98315e-02 | 1.59552e+01 | 7.88663e-01 |
| 3.2 | 2.49663e-02 | 1.17419e+01 | 6.27166e-01 |
| 3.2 | 3.14307e-02 | 8.50071e+00 | 3.94978e-01 |
| 3.2 | 3.95689e-02 | 5.36620e+00 | 2.70904e-01 |
| 3.2 | 4.98144e-02 | 3.45960e+00 | 1.77003e-01 |
| 3.2 | 6.27126e-02 | 1.88142e+00 | 9.51941e-02 |
| 3.2 | 7.89504e-02 | 8.27729e-01 | 4.75178e-02 |
| 3.2 | 9.93927e-02 | 3.63487e-01 | 2.99292e-02 |
| 3.4 | 5.50000e-03 | 4.48172e+01 | 3.84127e+00 |
| 3.4 | 7.70000e-03 | 4.17324e+01 | 3.17145e+00 |
| 3.4 | 9.93927e-03 | 3.64205e+01 | 2.69303e+00 |
| 3.4 | 1.25128e-02 | 2.82145e+01 | 2.14199e+00 |
| 3.4 | 1.57527e-02 | 2.43311e+01 | 1.35473e+00 |
| 3.4 | 1.98315e-02 | 1.74793e+01 | 1.00382e+00 |
| 3.4 | 2.49663e-02 | 1.49531e+01 | 7.17475e-01 |
| 3.4 | 3.14307e-02 | 1.04851e+01 | 5.57981e-01 |
| 3.4 | 3.95689e-02 | 7.88681e+00 | 4.09101e-01 |
| 3.4 | 4.98144e-02 | 4.11117e+00 | 2.64590e-01 |
| 3.4 | 6.27126e-02 | 2.25002e+00 | 1.51424e-01 |
| 3.4 | 7.89504e-02 | 1.01945e+00 | 8.10654e-02 |
| 3.4 | 9.93927e-02 | 4.58865e-01 | 3.72950e-02 |
| 3.6 | 5.50000e-03 | 4.40520e+01 | 4.53574e+00 |
| 3.6 | 7.70000e-03 | 4.20775e+01 | 3.87848e+00 |
| 3.6 | 9.93927e-03 | 3.61026e+01 | 3.21813e+00 |
| 3.6 | 1.25128e-02 | 3.05041e+01 | 2.43630e+00 |
| 3.6 | 1.57527e-02 | 2.69973e+01 | 1.74487e+00 |
| 3.6 | 1.98315e-02 | 2.12316e+01 | 1.30322e+00 |
| 3.6 | 2.49663e-02 | 1.65832e+01 | 1.01047e+00 |
| 3.6 | 3.14307e-02 | 1.31070e+01 | 5.82357e-01 |
| 3.6 | 3.95689e-02 | 8.74055e+00 | 4.63906e-01 |
| 3.6 | 4.98144e-02 | 5.89185e+00 | 3.15366e-01 |
| 3.6 | 6.27126e-02 | 3.19606e+00 | 1.98762e-01 |
| 3.6 | 7.89504e-02 | 1.61343e+00 | 9.09763e-02 |
| 3.6 | 9.93927e-02 | 6.53300e-01 | 5.04485e-02 |
| 3.8 | 5.50000e-03 | 6.70220e+01 | 6.15511e+00 |
| 3.8 | 7.70000e-03 | 4.52685e+01 | 4.62384e+00 |
| 3.8 | 9.93927e-03 | 4.79993e+01 | 3.95193e+00 |
| 3.8 | 1.25128e-02 | 3.69946e+01 | 3.17018e+00 |
| 3.8 | 1.57527e-02 | 3.23410e+01 | 2.49478e+00 |
| 3.8 | 1.98315e-02 | 2.42523e+01 | 1.46011e+00 |
| 3.8 | 2.49663e-02 | 1.97563e+01 | 1.24163e+00 |
| 3.8 | 3.14307e-02 | 1.43149e+01 | 7.68319e-01 |
| 3.8 | 3.95689e-02 | 1.10266e+01 | 5.00746e-01 |
| 3.8 | 4.98144e-02 | 6.06994e+00 | 4.29763e-01 |
| 3.8 | 6.27126e-02 | 3.57635e+00 | 2.32338e-01 |
| 3.8 | 7.89504e-02 | 1.79020e+00 | 1.29359e-01 |
| 3.8 | 9.93927e-02 | 9.02953e-01 | 5.56226e-02 |
| 4.0 | 5.50000e-03 | 6.76952e+01 | 7.69360e+00 |
| 4.0 | 7.70000e-03 | 6.27281e+01 | 6.03895e+00 |
| 4.0 | 9.93927e-03 | 4.58748e+01 | 5.17808e+00 |
| 4.0 | 1.25128e-02 | 4.68355e+01 | 4.09132e+00 |
| 4.0 | 1.57527e-02 | 4.17396e+01 | 3.55728e+00 |
| 4.0 | 1.98315e-02 | 3.11505e+01 | 2.56083e+00 |
| 4.0 | 2.49663e-02 | 2.42244e+01 | 1.46834e+00 |
| 4.0 | 3.14307e-02 | 1.93941e+01 | 1.09772e+00 |
| 4.0 | 3.95689e-02 | 1.50997e+01 | 7.33676e-01 |
| 4.0 | 4.98144e-02 | 8.62247e+00 | 6.27018e-01 |
| 4.0 | 6.27126e-02 | 5.12941e+00 | 3.78547e-01 |
| 4.0 | 7.89504e-02 | 2.93461e+00 | 1.90469e-01 |
| 4.0 | 9.93927e-02 | 1.29196e+00 | 8.23660e-02 |
| 4.2 | 5.50000e-03 | 9.22527e+01 | 1.15104e+01 |
| 4.2 | 7.70000e-03 | 7.67362e+01 | 1.05849e+01 |
| 4.2 | 9.93927e-03 | 7.01822e+01 | 9.19695e+00 |
| 4.2 | 1.25128e-02 | 5.88279e+01 | 7.33210e+00 |
| 4.2 | 1.57527e-02 | 4.45568e+01 | 5.70722e+00 |
| 4.2 | 1.98315e-02 | 4.37827e+01 | 3.67761e+00 |
| 4.2 | 2.49663e-02 | 3.23072e+01 | 2.60428e+00 |
| 4.2 | 3.14307e-02 | 2.18868e+01 | 1.89908e+00 |
| 4.2 | 3.95689e-02 | 1.62602e+01 | 1.29825e+00 |
| 4.2 | 4.98144e-02 | 1.10550e+01 | 9.42470e-01 |
| 4.2 | 6.27126e-02 | 6.61258e+00 | 6.14365e-01 |
| 4.2 | 7.89504e-02 | 3.99864e+00 | 2.83196e-01 |
| 4.2 | 9.93927e-02 | 1.59046e+00 | 1.22630e-01 |
| 4.4 | 5.50000e-03 | 1.35366e+02 | 2.85089e+01 |
| 4.4 | 7.70000e-03 | 1.03127e+02 | 2.98350e+01 |
| 4.4 | 9.93927e-03 | 7.60630e+01 | 2.66560e+01 |
| 4.4 | 1.25128e-02 | 9.60071e+01 | 2.21144e+01 |
| 4.4 | 1.57527e-02 | 5.87737e+01 | 1.43875e+01 |
| 4.4 | 1.98315e-02 | 5.12759e+01 | 8.43168e+00 |
| 4.4 | 2.49663e-02 | 4.02151e+01 | 5.94299e+00 |
| 4.4 | 3.14307e-02 | 3.54415e+01 | 5.22996e+00 |
| 4.4 | 3.95689e-02 | 2.32061e+01 | 3.84053e+00 |
| 4.4 | 4.98144e-02 | 1.43184e+01 | 1.63369e+00 |
| 4.4 | 6.27126e-02 | 8.94058e+00 | 1.00503e+00 |
| 4.4 | 7.89504e-02 | 4.71444e+00 | 7.01128e-01 |
| 4.4 | 9.93927e-02 | 1.86939e+00 | 2.60283e-01 |
| 4.6 | 5.50000e-03 | 1.31355e+02 | 5.54075e+01 |
| 4.6 | 7.70000e-03 | 7.73713e+01 | 3.38846e+01 |
